sampling_date,sampling_month,confirmed_cases,sars_cov_2_virus,acetaminophen,atenolol,caffeine,carbamazepine,cotinine,diltiazem,diphenhydramine,metoprolol,nicotine,paraxanthine,sulfamethoxazole,trimethoprim,venlafaxine,chloroquine,desethyl_chloroquine,desethyl_hydroxychloroquine,hydroxychloroquine,remdesivir
2020-06-03,2022-06-,5,7043,93.28,1.2158,0.9,0.1994,1.8193,0.2664,2.0214,1.6626,6.7549,37.0825,0.775,0.2321,0.5076,0.035,0.019,0.0037,0.0569,0.0037
2020-06-04,2022-06-,5,31378,101.98,1.5917,0.7,0.2847,2.2277,0.4492,1.9695,1.9653,5.0998,40.3305,1.0697,0.2693,0.5966,0.0007,0.0039,0.0032,0.0466,0.0033
2020-06-05,2022-06-,5,9604,94.6,1.6177,0.7,0.2695,2.5099,0.3,1.4968,2.1342,4.4492,31.647,1.0947,0.2698,0.6078,0.0007,0.0035,0.0028,0.0464,0.0022
2020-06-06,2022-06-,6,22462,114.23,1.5692,0.7,0.2252,2.0741,0.2706,1.9984,1.9442,4.5976,29.8867,0.9738,0.2998,0.5524,0.0586,0.0436,0.0056,0.1337,0.0058
2020-06-07,2022-06-,6,38120,108.6,1.7677,0.6,0.276,2.4881,0.384,1.7403,2.1788,5.3448,34.2565,1.1861,0.3306,0.6457,0.0008,0.0066,0.0054,0.1028,0.003
2020-06-08,2022-06-,8,30877,109.93,1.5273,0.7,0.2125,2.7199,0.3573,1.0923,1.8616,6.1213,31.6434,0.9081,0.2992,0.5877,0.0008,0.0023,0.0017,0.018,0.0011
2020-06-09,2022-06-,8,408009,95.43,1.5897,0.7,0.2214,2.2082,0.4039,1.7706,2.1081,4.7838,31.635,0.749,0.2675,0.657,0.0007,0.0066,0.0045,0.0888,0.0034
2020-06-16,2022-06-,10,17121,142.86,1.407,0.7,0.2062,2.1417,0.4595,1.6729,2.0278,4.1536,26.6711,0.8039,0.2711,0.58,0.0018,0.0051,0.0042,0.0569,0.003
2020-06-23,2022-06-,10,130360,119.95,1.8408,0.5,0.2354,2.5786,0.4263,1.8495,2.4414,5.6106,32.3925,1.4873,0.3631,0.834,0.0009,0.0066,0.0049,0.0679,0.0038
2020-06-30,2022-06-,10,21654,144.68,1.4883,0.7,0.26,2.5171,0.5049,2.9502,2.005,4.8003,28.845,1.1584,0.2925,0.6467,0.0007,0.0046,0.0041,0.0675,0.0036
2020-07-07,2022-07-,12,46426,115.43,1.5241,0.7,0.2152,2.4892,0.3156,1.4856,1.9027,5.3101,28.3609,1.5318,0.3186,0.5799,0.0007,0.0068,0.0036,0.0513,0.003
2020-07-21,2022-07-,12,62079,117.19,1.7584,0.6,0.2692,2.909,0.9646,5.2309,2.1063,7.0582,31.88,1.6262,0.3978,0.8044,0.0009,0.0051,0.0043,0.0538,0.0048
2020-08-03,2022-08-,13,57161,103.99,1.6691,0.6,0.2936,2.6602,0.4652,1.3443,2.2385,5.4027,30.4668,2.1323,0.5236,0.6842,0.0008,0.0052,0.0029,0.0392,0.0051
2020-08-18,2022-08-,9,71305,92.64,0.8858,0.7,0.1626,1.5164,0.2948,1.0894,1.5868,4.9753,20.2034,1.0197,0.3264,0.5132,0.0028,0.0065,0.0092,0.0483,0.001
2020-09-01,2022-09-,10,18756,63.69,0.7874,1.2,0.1122,1.2227,0.2283,1.0119,1.3198,5.125,16.1395,0.7353,0.182,0.346,0.0004,0.0046,0.005,0.0602,0.0012
2020-09-15,2022-09-,12,83436,83.75,1.0162,0.7,0.1469,1.4892,0.2884,1.2198,1.5245,4.9017,19.8869,0.9637,0.3485,0.3991,0.0007,0.0053,0.0053,0.0724,0.0011
