sampling_date,sampling_month,confirmed_cases,sars_cov_2_virus,acetaminophen,atenolol,caffeine,carbamazepine,cotinine,diltiazem,diphenhydramine,metoprolol,nicotine,paraxanthine,sulfamethoxazole,trimethoprim,venlafaxine,chloroquine,desethyl_chloroquine,desethyl_hydroxychloroquine,hydroxychloroquine,remdesivir
2020-09-29,2022-09-,5,77649,80.29,1.0732,0.8,0.1392,1.62,0.3718,1.0671,1.4324,4.0573,21.462,1.6093,0.3863,0.4631,0.0006,0.0053,0.0057,0.0808,0.0017
2020-10-13,2022-10-,19,83703,92.4,1.0117,0.8,0.1493,1.6232,0.3109,0.9969,1.3022,6.3333,23.2504,0.7503,0.1787,0.3595,0.0006,0.0028,0.0047,0.0474,0.0009
2020-10-27,2022-10-,21,106098,70.59,0.7916,1.3,0.1652,1.5567,0.2038,1.3399,1.3465,6.6939,23.6036,0.9554,0.2063,0.3164,0.0004,0.0039,0.0068,0.0333,0.0004
2020-11-10,2022-11-,61,411653,80.44,0.7832,1.3,0.103,1.5062,0.2001,1.3188,1.2955,8.8293,23.6715,0.8352,0.1843,0.383,0.0004,0.0057,0.0114,0.0428,0.0004
2020-11-24,2022-11-,89,323967,86.79,0.8038,1,0.1292,1.5235,0.2035,1.0204,1.426,7.718,24.8807,0.9495,0.2279,0.3282,0.0005,0.0066,0.0067,0.0496,0.0005
2020-12-08,2022-12-,183,217996,106.89,0.6545,1.2,0.0978,1.4847,0.1834,1.1705,1.2867,7.9855,22.7305,0.8644,0.2153,0.396,0.0004,0.0042,0.0071,0.0379,0.0004
2020-12-22,2022-12-,227,276787,81.17,0.6824,1.1,0.105,1.4653,0.1843,0.5526,1.146,6.3498,24.2291,0.8193,0.2013,1.4965,0.0005,0.0005,0.0005,0.0155,0.0005
2021-01-05,2022-01-,330,181438,96.9,0.7066,0.9,0.0987,1.4283,0.2049,1.1466,1.3865,7.1714,24.1664,0.8754,0.2336,0.5284,0.0005,0.0045,0.0085,0.0352,0.0005
2021-01-19,2022-01-,313,300912,54.82,0.662,0.9,0.1145,1.7542,0.1512,0.9545,1.332,5.8862,23.4822,0.3544,0.2084,0.4156,0.0005,0.0032,0.0005,0.0167,0.0005
2021-01-21,2022-01-,291,58631,87.3,0.6889,1.1,0.1438,1.5088,0.1707,1.0395,1.2399,5.2359,21.8865,0.5086,0.194,0.5568,0.0004,0.0046,0.0011,0.0267,0.0004
2021-01-26,2022-01-,265,89502,99.02,0.7366,1.3,0.1797,1.4009,0.1787,0.9024,1.1663,3.658,22.6936,0.4441,0.2054,0.5629,0.0004,0.004,0.001,0.0273,0.0004
2021-01-27,2022-01-,258,208971,67.12,0.6077,1.3,0.0975,1.2988,0.1885,2.2939,1.2444,3.9794,18.8507,0.4237,0.186,0.3773,0.0005,0.0062,0.0016,0.0369,0.0004
2021-02-02,2022-02-,211,208123,104.79,0.8365,0.9,0.1322,1.5859,0.255,1.5142,1.4462,7.0624,25.2912,0.5235,0.2703,0.4275,0.0007,0.0128,0.0043,0.0752,0.0005
2021-02-04,2022-02-,191,186349,36.1,0.7193,1,0.1107,1.4014,0.1797,1.2826,1.0945,3.9581,22.4394,0.3766,0.211,0.3285,0.0005,0.008,0.0022,0.0471,0.0005
2021-02-09,2022-02-,184,162911,93.92,0.6835,1.2,0.1479,1.521,0.199,1.092,1.2302,4.2146,21.2826,0.9805,0.3321,0.3893,0.0004,0.0039,0.0016,0.0261,0.0004
2021-02-10,2022-02-,183,184981,125.63,0.6627,1.2,0.0941,1.4758,0.2186,1.4994,1.1596,2.8587,21.5524,3.3997,1.0348,0.3466,0.0004,0.0064,0.0019,0.0402,0.0004
2021-02-17,2022-02-,140,192273,40.57,0.6095,0.9,0.0904,1.5673,0.2484,0.7903,1.27,4.9986,22.8998,0.2738,0.2375,0.3913,0.0006,0.0054,0.0018,0.0264,0.0006
2021-02-28,2022-02-,130,110563,87.63,0.6591,0.8,0.1146,1.5775,0.2571,1.2731,1.3701,5.2441,24.3396,0.4968,0.2342,0.3708,0.0091,0.0168,0.0044,0.0442,0.0006
2021-03-03,2022-03-,132,71210,25.3,0.6795,0.9,0.1116,1.4944,0.1945,1.0007,1.241,5.2939,22.8025,0.4287,0.2261,0.3596,0.0014,0.0103,0.0028,0.046,0.0006
2021-03-06,2022-03-,133,48366,85.3,0.7499,1,0.115,1.5808,0.2166,1.1404,1.231,5.4144,25.5023,0.5325,0.2144,0.361,0.0005,0.0088,0.0018,0.0487,0.0005
2021-03-09,2022-03-,137,42759,23.69,0.5936,1.2,0.1109,1.475,0.1646,1.0067,1.0523,4.5474,22.1886,0.6429,0.2189,0.3254,0.0004,0.0075,0.0014,0.0352,0.0004
2021-03-15,2022-03-,144,208889,113.97,0.7564,1.1,0.107,1.5976,0.2285,1.1393,1.2439,6.0871,24.7732,0.5544,0.2195,0.4211,0.0004,0.0075,0.0017,0.0467,0.0004
2021-03-16,2022-03-,147,89057,73.75,0.6754,1.2,0.121,1.3453,0.2106,1.0952,1.2834,3.833,23.1721,0.5926,0.2128,0.3492,0.0004,0.0058,0.0018,0.0344,0.0004
2021-03-21,2022-03-,149,57250,125.25,0.7804,1.1,0.1029,1.506,0.2107,1.2418,1.3205,5.2296,22.4314,0.5552,0.2142,0.3573,0.0004,0.0082,0.0023,0.0476,0.0004
2021-03-24,2022-03-,144,67157,94.05,0.732,1.2,0.1024,1.2795,0.2123,1.1108,1.1589,3.9776,21.5693,0.5615,0.1817,0.3452,0.0151,0.0225,0.0091,0.0433,0.0015
2021-03-28,2022-03-,156,142424,138.41,0.9256,0.9,0.2061,1.6553,0.2675,1.5135,1.3535,6.0368,25.5139,0.776,0.2607,0.3763,0.0006,0.0076,0.0022,0.0534,0.0006
2021-03-31,2022-03-,168,39589,91.69,0.6044,1.2,0.2313,1.1124,0.2085,1.1517,1.1047,3.912,20.6047,0.5064,0.1867,0.3002,0.0004,0.0065,0.0024,0.0424,0.0004
2021-06-14,2022-06-,7,261,18.97,0.354,1.2,0.2509,1.4561,0.1207,0.9895,0.953,2.7551,17.1768,0.4836,0.168,0.6236,0.0004,0.0034,0.0011,0.0305,0.0004
2021-06-16,2022-06-,8,3907,34.52,0.567,1.1,0.1593,1.7665,0.1296,1.0337,1.3063,3.2093,20.4598,0.4439,0.2006,0.4446,0.0004,0.0016,0.0007,0.0175,0.0004
2021-06-21,2022-06-,7,114521,39.92,0.5124,0.6,0.1179,1.9026,0.2187,1.8701,1.4282,4.082,22.2062,0.4588,0.2984,0.6666,0.0009,0.0053,0.0019,0.0701,0.0009
2021-06-22,2022-06-,6,7560,26.34,0.5035,1.1,0.2212,1.9948,0.1513,1.1643,1.3086,3.3179,22.0605,0.4565,0.1804,0.551,0.0004,0.0033,0.001,0.0257,0.0004
2021-06-30,2022-06-,5,4245,20.81,0.5365,1.2,0.1263,1.6222,0.1391,1.3135,1.2541,2.8711,18.845,0.4098,0.1848,0.4847,0.0004,0.0019,0.0004,0.0137,0.0004
2021-07-05,2022-07-,6,1446,32.71,0.7217,1,0.1385,2.1511,0.168,1.4375,2.181,4.3958,26.0842,0.7458,0.2626,0.5923,0.0005,0.0016,0.0011,0.027,0.0005
2021-07-06,2022-07-,6,4907,75.2,0.6556,0.9,0.2652,2.1008,0.1873,1.3679,1.4881,5.3383,24.3251,7.813,1.9712,3.9346,0.0005,0.0018,0.0007,0.0128,0.0005
2021-07-11,2022-07-,9,12939,40.35,0.5727,0.9,0.0881,1.5528,0.1538,1.2076,1.0611,3.6857,19.4371,1,0.3695,2.7427,0.0005,0.0015,0.0008,0.0111,0.0005
2021-07-14,2022-07-,12,17497,32.53,0.4796,1.1,0.1423,1.6468,0.163,1.2024,1.3036,3.4194,19.099,0.8595,0.2223,3.4355,0.0005,0.0029,0.0011,0.0272,0.0005
2021-07-19,2022-07-,16,1437,22.51,0.5709,1.2,0.1322,1.7331,0.1674,1.5545,1.6585,4.1701,20.6289,1.4993,0.466,4.4919,0.0004,0.0028,0.0009,0.0308,0.0004
2021-07-21,2022-07-,18,8358,32.37,0.5475,1.3,0.1332,1.625,0.1117,1.7191,1.1123,3.0541,19.7338,1.4643,0.451,0.9777,0.0004,0.0022,0.0006,0.032,0.0004
2021-07-27,2022-07-,33,21191,40.19,0.5665,1.1,0.1391,1.5671,0.1722,1.3072,1.1066,3.411,19.4183,51.0326,14.3435,0.6866,0.0005,0.0029,0.0018,0.0227,0.0005
2021-08-03,2022-08-,59,83604,23.43,0.4909,1.1,0.1846,1.7744,0.136,1.7895,1.3413,3.2807,21.7881,1.1816,0.3081,0.7628,0.0004,0.0024,0.0004,0.0273,0.0042
2021-08-09,2022-08-,74,81181,17.36,0.4588,1.1,0.0957,1.3284,0.1568,1.1291,1.2362,3.3725,17.9065,0.7324,0.2501,0.8063,0.0004,0.0025,0.001,0.0233,0.0004
2021-08-11,2022-08-,75,147987,38.02,0.5159,0.6,0.1481,1.9914,0.2072,1.3018,1.7641,4.2418,25.4921,1.1488,0.2795,1.6124,0.0008,0.0026,0.0008,0.0184,0.0008
2021-08-16,2022-08-,95,88706,35.64,0.5756,1.2,0.1055,1.6476,0.1716,1.2205,1.1755,3.4067,20.0172,1.0202,0.2708,0.6604,0.0004,0.002,0.0012,0.0284,0.002
2021-08-17,2022-08-,99,88242,65.07,0.4956,1.1,0.1213,1.8074,0.1968,1.9503,1.2129,3.5266,23.064,1.6145,0.3814,0.7624,0.0005,0.0027,0.0007,0.0302,0.008
2021-08-22,2022-08-,75,173521,34.59,0.8704,0.6,0.1605,2.3965,0.2234,1.4122,1.7479,4.286,26.213,1.3124,0.3463,0.6812,0.0009,0.0031,0.0015,0.0231,0.0009
2021-08-24,2022-08-,57,49418,47.11,0.5687,0.8,0.1192,1.6613,0.1819,1.2196,1.2671,3.3296,22.0856,0.8406,0.2445,0.5623,0.0006,0.004,0.0021,0.0212,0.0009
2021-08-29,2022-08-,94,199264,84.12,0.5023,0.7,0.1186,1.7925,0.1861,1.3919,1.465,3.8823,22.6564,0.7011,0.2488,0.5987,0.0007,0.0022,0.0007,0.0149,0.0007
2021-08-31,2022-08-,111,116412,57.3,0.6624,0.8,0.1505,1.8779,0.2418,0.6017,2.0321,4.2521,23.3726,1.0976,0.2591,0.9053,0.0006,0.002,0.0006,0.0135,0.001
2021-09-26,2022-09-,96,35608,54.19,0.6402,0.8,0.1526,1.9226,0.2562,1.6496,1.3356,3.8305,24.0917,0.6676,0.2775,0.7034,0.0006,0.0033,0.0013,0.0399,0.0006
2021-09-28,2022-09-,87,46241,58.9,0.579,1,0.211,1.8813,0.2115,1.4651,5.4518,3.4248,21.5466,1.0612,0.2777,0.5473,0.0005,0.0025,0.001,0.0291,0.0005
2021-10-02,2022-10-,76,55751,79.57,0.6274,0.9,0.1536,2.2391,0.2812,1.8356,1.4988,3.8571,22.9585,1.593,0.3311,0.7272,0.0006,0.0023,0.001,0.0345,0.0006
2021-10-03,2022-10-,76,57734,52.08,0.7353,0.9,0.1276,2.1451,0.2184,1.6796,1.2944,3.8054,22.506,1.3837,0.3321,0.7305,0.0006,0.0041,0.0009,0.028,0.0006
2021-10-04,2022-10-,75,35492,51.35,0.5791,1,0.1402,2.0429,0.2614,1.7648,1.4716,3.2355,23.8044,1.3178,0.2243,1.0061,0.0005,0.0033,0.001,0.0447,0.0005
2021-10-06,2022-10-,73,18242,53.43,0.5244,1.7,0.9886,1.5432,0.1615,1.1554,1.0313,2.7437,19.371,1.1163,0.2641,6.3419,0.0003,0.0018,0.0007,0.0168,0.0003
2021-10-11,2022-10-,76,31140,61.76,0.5962,1,0.1496,1.8272,0.2655,1.5544,1.29,3.2274,21.0112,1.041,0.242,1.4715,0.0005,0.0038,0.0014,0.0525,0.0005
2021-10-12,2022-10-,72,40525,63.65,0.8131,1,0.1349,1.7194,0.1721,1.379,1.0761,2.6963,20.4631,1.0412,0.2373,1.0364,0.0005,0.0022,0.0011,0.0277,0.0005
2021-10-13,2022-10-,82,50551,85.82,0.5055,1.1,0.1226,1.4848,0.2001,1.3338,1.1532,3.1956,21.0941,2.2894,0.3931,0.9617,0.0004,0.0023,0.0014,0.0357,0.0004
2021-10-17,2022-10-,74,77405,87.74,0.5955,0.8,0.1505,2.0754,0.2429,1.5187,1.2052,4.0394,22.9129,1.2439,0.3058,0.6339,0.0006,0.0049,0.0018,0.0402,0.0006
2021-10-18,2022-10-,78,73050,76.36,0.6493,1.1,0.1597,1.6845,0.247,1.8272,1.4894,3.5984,22.6139,1.089,0.2781,0.6005,0.0005,0.0027,0.0015,0.0411,0.0005
2021-10-20,2022-10-,74,78688,67.29,0.5576,0.6,0.1748,1.6872,0.1883,1.5074,1.3637,3.4868,21.3633,0.8458,0.2394,0.5024,0.0008,0.0079,0.0035,0.0666,0.0008
2021-10-23,2022-10-,65,29442,47.05,0.4137,1.1,0.1238,1.4079,0.1701,2.3412,1.0309,2.7808,16.8744,0.9152,0.2045,0.4001,0.0004,0.0031,0.001,0.0394,0.0004
2021-10-24,2022-10-,64,30252,69.46,0.6507,1.1,0.1264,1.7564,0.211,2.191,1.3483,3.46,23.0763,0.9905,0.2942,0.6147,0.0005,0.0028,0.002,0.0429,0.0005
2021-10-25,2022-10-,61,39716,64.34,0.5822,1.1,0.167,1.7191,0.2308,4.263,1.2486,3.4774,20.6206,0.8419,0.2317,0.6023,0.0005,0.0032,0.001,0.042,0.0005
2021-10-27,2022-10-,55,68346,87.68,0.6255,0.7,0.1228,1.6254,0.2219,4.1984,1.2453,4.1803,21.2787,1.1768,0.2502,0.4906,0.0007,0.0048,0.0007,0.0349,0.0007
2021-10-31,2022-10-,45,13357,90.37,0.6794,0.7,0.1088,1.5595,0.2588,1.5454,1.3113,4.6529,22.9319,0.8094,0.2263,0.5608,0.0007,0.0028,0.0015,0.0372,0.0007
2021-11-02,2022-11-,27,39787,74.09,0.568,1.1,0.1238,1.57,0.2087,1.8259,1.0968,3.7788,21.1985,0.8374,0.2184,0.4987,0.0005,0.0026,0.0008,0.0211,0.0005
2021-11-03,2022-11-,20,57670,72.12,0.5572,1.1,0.1045,1.5758,0.2163,1.4836,1.1288,3.3564,21.8368,0.9312,0.2331,0.529,0.0004,0.0028,0.0021,0.0359,0.0004
2021-11-07,2022-11-,0,97420,76.92,0.6956,0.9,0.1286,2.0043,0.2547,1.4384,1.2651,4.358,24.056,1.2756,0.2897,0.5668,0.0005,0.0032,0.0013,0.051,0.0005
2021-11-08,2022-11-,0,21794,95.63,0.7221,1,0.1569,1.698,0.1957,1.4381,1.2573,3.7887,23.0594,1.045,0.3693,0.5693,0.0005,0.0042,0.0038,0.0352,0.0005
2021-11-09,2022-11-,0,64639,74.91,0.5295,1,0.0978,1.6947,0.2119,1.8011,1.1372,3.3604,23.0721,6.5668,1.1052,0.462,0.0005,0.0046,0.002,0.0443,0.0005
2021-11-14,2022-11-,0,32734,75.68,0.7881,1,0.1229,1.7497,0.2335,1.3732,1.2743,4.2927,23.4412,0.9893,0.3656,0.4682,0.0005,0.0031,0.0013,0.0415,0.0005
2021-11-15,2022-11-,0,111734,64.31,0.5625,1.1,0.1349,1.6514,0.2344,1.2649,1.2385,3.3527,22.5036,0.9893,0.3735,0.4996,0.0004,0.0044,0.0016,0.037,0.0004
2021-11-17,2022-11-,0,29489,71.08,0.556,1.2,0.1234,1.5864,0.1882,1.4043,1.183,3.5316,20.956,2.7957,0.5108,0.4781,0.0004,0.0031,0.0014,0.0417,0.0004
2021-11-21,2022-11-,0,44084,89.01,0.8354,1,0.1607,1.5896,0.2093,1.2313,1.4852,5.268,24.9108,0.5322,0.2603,1.5413,0.0005,0.0029,0.0023,0.0289,0.0005
2021-11-22,2022-11-,0,58499,89.4,0.7137,1.2,0.1218,1.4226,0.2137,1.3836,1.5579,4.8149,23.4171,0.7319,0.2641,0.4522,0.0004,0.0028,0.0028,0.0262,0.0004
2021-11-23,2022-11-,0,83710,101.97,0.7518,1.2,0.3311,1.4235,0.1795,1.1064,1.4252,5.6199,23.7847,0.6546,0.2687,0.3664,0.0004,0.0027,0.0018,0.0198,0.0004
2021-11-28,2022-11-,0,257500,98.88,0.8395,0.8,0.1411,1.7998,0.2505,1.3955,1.809,6.2638,27.4402,0.7452,0.3365,0.9929,0.0007,0.0025,0.0031,0.0285,0.0007
2021-11-29,2022-11-,0,166051,75.16,0.7864,1.1,0.1609,1.6102,0.2255,1.8399,1.7496,4.2549,24.4826,0.6209,0.2425,6.2132,0.0005,0.0025,0.0012,0.0266,0.0005
2021-12-01,2022-12-,57,120401,86.21,0.5233,1.5,0.1767,1.1537,0.1601,1.2749,1.103,2.7278,18.1775,0.3226,0.2488,0.7733,0.0003,0.002,0.0014,0.0233,0.0003
2021-12-05,2022-12-,156,205096,117.91,0.7576,1,0.163,1.5604,0.2849,1.3341,1.7487,6.2936,24.3625,0.3166,0.3296,1.7544,0.0005,0.0029,0.0036,0.0426,0.0005
2021-12-06,2022-12-,179,247479,122.42,0.8812,1.1,0.176,1.5186,0.2808,1.375,1.7965,4.5243,24.8859,0.5005,0.3169,0.7388,0.0005,0.004,0.0032,0.0628,0.0005
2021-12-08,2022-12-,193,132804,117.23,0.6002,1.2,0.1819,1.3408,0.2298,1.5896,1.6312,3.406,24.1451,0.3918,0.4045,2.3269,0.0004,0.0031,0.0022,0.0204,0.0004
2021-12-13,2022-12-,229,286317,97.64,0.7262,1.3,0.1401,1.3324,0.1976,1.0907,1.5722,2.9519,22.8444,0.4042,0.244,0.6286,0.0004,0.0022,0.0016,0.0289,0.0004
2021-12-14,2022-12-,252,282921,101.63,0.9153,1,0.1655,1.4253,0.249,1.8565,1.6268,5.3615,23.6213,0.4305,0.299,0.5906,0.0047,0.0105,0.0105,0.0457,0.0011
2021-12-16,2022-12-,294,417936,95.33,0.7305,1.2,0.1434,1.1781,0.2063,1.2249,1.4128,2.6357,23.7397,0.4929,0.2257,0.3784,0.0004,0.0023,0.0026,0.0274,0.0004
2021-12-20,2022-12-,303,558145,132.52,0.7409,1.2,0.1488,1.4525,0.2048,1.1016,1.4804,2.1895,23.4212,0.7142,0.2625,0.3999,0.0004,0.0022,0.0022,0.0283,0.0004
2021-12-21,2022-12-,333,465263,120.78,0.7718,1.6,0.1248,1.298,0.1829,0.965,1.4084,8.128,23.1862,0.4056,0.2233,0.444,0.0003,0.0023,0.0023,0.0403,0.0003
2021-12-23,2022-12-,431,200436,149.79,0.5276,1.4,0.1359,1.224,0.1968,1.024,1.2405,1.5574,23.5673,0.4552,0.2801,0.4178,0.0004,0.0022,0.0019,0.0369,0.0004
2021-12-27,2022-12-,677,482757,156.01,0.7529,1.2,0.1159,1.3209,0.2125,1.106,1.1742,1.5179,27.2522,0.5559,0.2258,0.3833,0.0004,0.0033,0.0034,0.0459,0.0004
2021-12-28,2022-12-,672,857667,153.41,0.823,1,0.1492,1.5653,0.2552,1.2383,1.6649,1.8634,27.3672,0.7649,0.3185,0.4143,0.0005,0.0034,0.0031,0.0369,0.0005
2021-12-29,2022-12-,723,917239,191.18,0.5535,1.1,0.1239,1.2696,0.2158,1.1477,1.38,1.1457,22.982,1.7495,0.3678,0.3754,0.0005,0.0032,0.006,0.0344,0.0005
2021-12-30,2022-12-,770,459355,170.95,0.5605,0.9,0.1369,1.0315,0.1984,1.3324,1.3893,2.1274,21.1449,13.1756,2.1886,1.6511,0.0005,0.0034,0.0048,0.0521,0.0005
2022-01-03,2022-01-,908,1305252,186.77,0.8654,0.8,0.1804,1.7977,0.3002,1.4296,1.875,6.5628,29.2819,1.6571,0.4701,0.5963,0.0007,0.0041,0.0038,0.0432,0.0007
2022-01-04,2022-01-,978,394965,189.5,0.9048,0.9,0.1651,1.5753,0.257,2.1033,1.7649,19.1745,27.5539,11.6886,2.1931,0.4451,0.0006,0.0048,0.005,0.0624,0.0006
2022-01-06,2022-01-,668,454523,179.39,0.5991,1.3,0.1183,1.0126,0.2129,1.3788,1.0317,0.8147,19.6392,0.5298,0.2323,0.4218,0.0004,0.0038,0.0034,0.0461,0.0004
